keys,en,es,fr
STATS_MODAL_TITLE,Stats,,
STATS_GAMES_PLAYED,Games Played,Juegos Jugados,Parties Jouees
STATS_BEST_SCORE,Best Score,Mejor Puntuacion,Meilleur Score
STATS_TOTAL_SCORE,Total Score,Puntuacion Total,Score Total
STATS_TOTAL_PIECES_CAPTURED,Total Pieces Captured,,
STATS_TOTAL_MOVES_MADE,Total Moves Made,,
STATS_PAWN_CAPTURES,Pawns Captures,,
STATS_ROOK_CAPTURES,Rook Captures,,
STATS_KNIGHT_CAPTURES,Knight Captures,,
STATS_BISHOP_CAPTURES,Bishop Captures,,
STATS_QUEEN_CAPTURES,Queen Captures,,
STATS_KING_CAPTURES,King Captures,,
STATS_TOTAL_PLAY_TIME,Total Play Time,,
STATS_SESSIONS_PLAYED,Sessions Played,,
STATS_HIGHEST_MULTIPLIER,Highest Multiplier,,
SETTINGS_MODAL_TITLE,Settings,ESSettings,FRSettings
SETTINGS_MODAL_SOUND,Sound,ESSound,FRSound
SETTINGS_MODAL_MUSIC,Music,,
SETTINGS_MODAL_LANGUAGE,Language,,
MAIN_MENU_SETTINGS,SETTINGS,,
MAIN_MENU_SHOP,SHOP,,
MAIN_MENU_STATS,STATS,,
MAIN_MENU_NEW,NEW,,
MAIN_MENU_CONTINUE,CONTINUE,,
LOADOUT_CHARACTER_SELECT,Character,,
LOADOUT_MAP_SELECT,Map,,
LOADOUT_COSMETIC_SELECT,Chess Set,,
LOADOUT_RUSH_MODE,RUSH,,
LOADOUT_CLASSIC_MODE,CLASSIC,,
CLOSE,Close,,
